"id","updated_at","carbs","dietary_fiber","energy_kcal","energy_kj","fat","name","net_carbs","preparation_time_in_minutes","protein","saturated_fats","servings","sugar","total_fats","total_grams","categories"
583,2025-01-17 08:29:08.982,67.204,15.045,484.79,0.0,15.166,Πίτα με καλαμάκι κοτόπουλο και σως μουστάρδας,0.0,30,9.043,2.065,1,5.321,15.166,185.0,"2,4"
587,2025-01-17 12:08:20.390,66.455,14.77,606.25,0.0,17.07,Πίτα με καλαμάκι κοτόπουλο και τζατζίκι,0.0,30,34.165000000000006,2.025,1,3.55,17.07,295.0,"2,4"
261,2025-01-11 09:12:42.277,44.65,14.6,514.3,0.0,14.97,Πίτα με καλαμάκι χοιρινό,0.0,5,30.2,4.465,1,3.17,14.97,235.0,"2,4"
585,2025-01-17 08:28:43.431,67.56,16.084,711.6,0.0,24.118000000000002,Πίτα με καλαμάκι χοιρινό και μουστάρδα,0.0,30,31.04,5.5249999999999995,1,2.84,24.118000000000002,298.0,"2,4"
584,2025-01-17 08:28:53.010,46.9924,15.397,591.524,0.0,21.000400000000006,Πίτα με καλαμάκι χοιρινό και πικάντικη σως γιαουρτιού,0.0,30,29.9435,4.6785,1,5.962954999999999,21.000400000000006,273.75,"2,4"
582,2025-01-17 08:17:31.935,65.955,14.77,731.25,0.0,27.070000000000004,Πίτα με καλαμάκι χοιρινό και τζατζίκι,0.0,30,32.165,5.5249999999999995,1,3.05,27.070000000000004,295.0,"2,4"
588,2025-01-17 12:04:03.270,68.1575,15.208,591.4000000000001,0.0,20.025,Πίτα με κεμπάπ,0.0,30,24.593499999999995,1.525,1,3.7335000000000003,20.025,267.5,"2,4"
183,2024-09-12 09:20:48.608,37.95955,1.8237249999999998,565.678875,0.0,25.4831,Πίτα χωριάτικη,0.0,40,45.69738749999999,0.0858125,8,14.457091250000001,25.4831,487.725,"0,1,2,3,4"
257,2025-05-21 06:57:16.594,3.278,1.317,339.31,0.0,22.978,Πίτσα Πρωτεϊνης,0.0,40,28.377999999999997,0.0,1,1.947,22.978,223.0,"0,3"
108,2024-09-05 13:54:57.286,30.5733,1.3226000000000002,239.997,0.0,5.8946,Πίτσα στο ταψί,0.0,30,11.2442,0.01675,10,7.874910000000002,5.8946,172.7,"0,1,2,3,4"
273,2024-10-09 07:11:44.376,66.18085,2.1901428571428574,439.6868571428571,0.0,18.971835714285714,Πορτοκαλόπιτα,0.0,60,4.377142857142857,2.007692857142857,14,46.08313571428572,18.971835714285714,187.2642857142857,"0,1,3"
267,2025-04-09 07:25:27.045,17.225,8.495000000000001,341.4,0.0,13.815,Πράσινη σαλάτα με αβοκάντο και τόνο,0.0,5,39.7,2.0650000000000004,1,7.595000000000001,13.815,325.0,"2,4"
61,2024-10-24 06:37:02.591,56.633900000000004,4.6808625,279.516,0.0,4.4923,Πρασόρυζο στο φούρνο,0.0,25,5.8588499999999994,0.20999999999999996,4,7.9453425,4.4923,269.8625,"2,4"
81,2024-09-04 12:15:53.405,50.140362499999995,2.93075,558.8821250000001,0.0,31.4541125,Πρασοτυρόπιτα,0.0,1,19.548250000000003,0.0675,8,8.4886625,31.4541125,305.4875,"0,1,2,3,4"
270,2025-03-26 07:31:16.485,77.17930625,1.44675,442.2038125,0.0,11.947043750000002,Ραβανί,0.0,120,4.768125,0.05785625,16,56.94605625000001,11.947043750000002,130.23125,"0"
157,2024-09-10 13:15:06.829,103.76300000000002,7.302458333333333,759.2354166666665,0.0,4.117791666666666,Ρεβύθια με σπανάκι,0.0,90,17.705499999999997,0.30641666666666667,3,7.330933333333334,4.117791666666666,455.625,"2,4"
49,2025-01-09 15:00:19.035,115.86300000000001,2.876791666666667,1098.9220833333334,0.0,32.113458333333334,Ρεβυθόσουπα,0.0,75,15.728166666666667,4.365083333333334,3,4.900783333333334,32.113458333333334,317.125,"2,4"
195,2024-09-13 07:00:36.048,20.42835,2.6350437500000004,205.9830625,0.0,6.505543749999999,Ριζότο θαλασσινών,0.0,60,11.440275000000003,0.06381250000000001,4,4.202745,6.505543749999999,256.46875,"2,4"
64,2024-09-05 10:57:10.944,189.03625,1.9549999999999998,1331.855,0.0,70.98325,Ριζότο λαχανικών με θαλασσινά ,0.0,45,75.81400000000001,0.072875,4,76.74975,70.98325,511.0,"2,4"
595,2025-01-23 11:52:35.716,46.25116666666667,0.21933333333333338,234.12283333333332,0.0,2.0844,Ρολάκια κανέλας,0.0,120,5.4331000000000005,0.6493433333333334,12,16.645833333333332,2.0844,68.78333333333333,"1,3"
140,2024-09-07 09:53:53.455,35.3518,13.22494375,221.9498125,0.0,5.64319375,Ρολάκια μελιτζάνας με φέτα,0.0,50,12.93695,0.35706249999999995,4,21.031722500000004,5.64319375,675.44375,"2,4"
216,2024-09-17 12:04:22.506,79.098,3.816791666666667,878.3570833333333,0.0,40.44045833333333,Ρολό κοτόπουλο με πατάτες στο φούρνο,0.0,140,53.626666666666665,0.12808333333333333,3,3.8524499999999997,40.44045833333333,481.2916666666667,"2,4"
107,2024-09-05 13:27:22.747,51.041566666666654,2.2662999999999998,256.81683333333336,0.0,2.8944666666666667,Ρύζι με λαχανικά,0.0,30,7.18835,0.11376666666666668,3,3.707121666666666,2.8944666666666667,185.67499999999998,"2,4"
106,2024-09-05 13:18:55.486,80.53434999999999,9.26245,392.66024999999996,0.0,3.4192000000000005,Ρύζι με μπρόκολο,0.0,25,15.181024999999998,0.29,2,5.2756825,3.4192000000000005,381.825,"2,4"
90,2024-09-05 10:57:35.337,82.8658,3.8382666666666663,508.0136666666667,0.0,4.162266666666667,Ρύζι με σάλτσα τόνου,0.0,30,33.64803333333333,0.24,3,6.859243333333333,4.162266666666667,359.6583333333333,"2,4"
215,2024-09-17 12:00:04.015,49.235599999999984,11.373543750000001,300.0605625,0.0,3.5395437500000004,Ρύζι με τομάτα στο φούρνο,0.0,40,12.886775000000002,0.12231249999999999,4,8.118995,3.5395437500000004,236.04375,"2,4"
105,2024-09-05 13:13:36.791,68.7,1.6500000000000001,342.9,0.0,2.74,Ρύζι με φρέσκα μανιτάρια,0.0,20,9.6,0.0,4,0.81,2.74,140.34375,"2,4"
56,2025-02-14 10:07:34.500,52.777474999999995,1.1480000000000001,400.105,0.0,25.326125000000005,Ρυζόγαλο,0.0,30,2.4543,0.034705,4,62.05397500000001,25.326125000000005,355.525,"0,1,3"
