"id","updated_at","carbs","dietary_fiber","energy_kcal","energy_kj","fat","name","net_carbs","preparation_time_in_minutes","protein","saturated_fats","servings","sugar","total_fats","total_grams"
120,2024-09-06 08:15:32.932,73.97534999999999,1.9724500000000003,529.1102500000001,0.0,5.502700000000001,Μυδοπίλαφο,0.0,30,41.694025,0.08165,2,3.5736825,5.502700000000001,365.2
121,2024-09-06 08:24:06.115,47.0479375,4.377125,582.1754999999999,0.0,24.8275625,Σουφλέ ζυμαρικών,0.0,40,40.20001250000001,0.000125,8,5.140499999999999,24.8275625,278.5375
254,2024-10-03 10:36:48.923,10.793700000000001,2.6049,76.12049999999999,0.0,3.3484000000000003,Σαλάτα με αγγούρι και τομάτα,0.0,5,2.40705,0.1875,1,5.8013650000000005,3.3484000000000003,289.15
123,2024-09-06 08:33:13.165,39.103375,6.343625,204.10062499999998,0.0,4.023000000000001,Κρεμμυδόσουπα βελουτέ,0.0,40,4.3650625000000005,0.3125,4,9.32670625,4.023000000000001,334.90625
124,2024-09-06 08:40:56.622,40.678425000000004,9.346224999999999,182.367625,0.0,1.3646,Καροτόσουπα βελουτέ,0.0,60,4.163012500000001,0.36,4,13.86409125,1.3646,367.50625
139,2024-09-07 09:12:04.641,40.3212,1.0970875,662.396125,0.0,45.046087500000006,Κοτόπουλο με λιαστή τομάτα και φέτα,0.0,35,20.951050000000002,0.029625,2,6.642989999999999,45.046087500000006,497.3375
125,2024-09-06 10:08:53.743,21.796925,7.03655,138.8245,0.0,5.207600000000001,Ψητά λαχανικά με βαλσάμικο,0.0,35,3.928075,0.325,4,15.1140475,5.207600000000001,360.69375
126,2024-09-06 10:15:14.311,33.888349999999996,4.12895,682.84525,0.0,29.39295,Κρεατόσουπα με μοσχάρι,0.0,130,70.863275,0.174,4,4.4356825,29.39295,444.91875
128,2024-09-06 13:15:39.013,3.6818571428571425,0.2898571428571429,271.3307142857143,0.0,14.019571428571426,Μπιφτέκια κοτόπουλο,0.0,30,32.11685714285714,5.157571428571429,7,0.9791428571428572,14.019571428571426,205.58928571428572
129,2024-09-06 13:23:51.635,39.911849999999994,2.87745,385.55525,0.0,19.4587,Κοτόπουλο γεμιστό,0.0,100,11.261525000000002,0.08625,2,9.975682500000001,19.4587,351.5125
130,2024-09-06 13:33:27.594,43.894133333333336,6.958266666666667,253.11366666666666,0.0,5.615600000000001,Μακαρόνια με πέστο,0.0,20,8.733033333333333,0.5466666666666666,3,1.7075766666666665,5.615600000000001,181.225
131,2024-09-06 13:52:14.534,59.459999999999994,7.62,1074.0,0.0,67.74,Σουφλέ πατάτας,0.0,45,57.54,0.36,5,5.7,67.74,630.0
133,2024-09-06 14:03:45.408,39.831,0.0,201.767,0.0,0.7659999999999999,Κρέμα καραμελέ,0.0,20,8.865,0.0,5,39.6,0.7659999999999999,168.17000000000002
134,2024-09-06 14:09:45.796,57.06166666666667,0.3733333333333333,449.0641666666666,0.0,19.07833333333333,Τάρτα λεμονιού,0.0,15,12.607500000000002,0.013333333333333334,6,20.8,19.07833333333333,191.66666666666666
135,2024-09-07 08:07:48.214,2.7549900000000003,0.0,145.68220000000002,0.0,9.86369,Τυροκροκέτες,0.0,30,11.1394,0.0,10,0.70602,9.86369,69.4275
136,2024-09-07 08:13:18.392,137.29264999999998,2.1700500000000003,1699.301,0.0,93.12304999999999,Χταπόδι με κοφτό μακαρονάκι,0.0,85,65.34635,0.0765,4,8.97898,93.12304999999999,734.64375
137,2024-09-07 08:27:21.321,8.0235,0.99,268.86199999999997,0.0,25.461000000000002,Πατατοκροκέτες,0.0,15,2.066,0.045,10,0.3725,25.461000000000002,84.2375
159,2024-09-11 07:04:54.974,73.46900000000001,5.728583333333334,501.925,0.0,13.689750000000002,Σπετσοφάι με φασόλια γίγαντες,0.0,100,21.288249999999994,0.17433333333333334,3,7.040275000000001,13.689750000000002,324.5
138,2024-09-07 09:02:18.892,11.259749999999999,2.4514375,440.453125,0.0,14.0779375,Πικάντικες φτερούγες κοτόπουλο,0.0,60,59.900499999999994,0.068125,4,3.646625,14.0779375,359.6875
140,2024-09-07 09:53:53.455,35.3518,13.22494375,221.9498125,0.0,5.64319375,Ρολάκια μελιτζάνας με φέτα,0.0,50,12.93695,0.35706249999999995,4,21.031722500000004,5.64319375,675.44375
141,2024-09-07 10:22:05.810,124.84019999999998,12.1510875,706.283625,0.0,18.6950875,Σαλάτα με κινόα και παντζάρι,0.0,30,15.840799999999998,1.8546250000000002,2,44.601490000000005,18.6950875,456.5875
217,2024-09-17 12:47:46.323,19.860000000000003,0.208125,180.81708333333333,0.0,8.818458333333334,Σπιτικά σνίτσελ κοτόπουλο,0.0,20,5.121,0.006416666666666665,6,1.4394166666666666,8.818458333333334,115.625
96,2024-09-10 06:38:29.216,41.446,5.828,615.88,0.0,35.37,Καπνιστός σολομός με τυρί cottage σε ψωμί,0.0,5,36.602000000000004,0.37,1,16.604,35.37,258.0
122,2024-09-10 06:45:30.635,16.39905,5.1315375,341.46512499999994,0.0,18.1835375,Σπετσοφάι,0.0,10,23.284200000000002,0.190875,2,8.07606,18.1835375,394.2875
143,2024-09-10 07:31:52.014,3.4951375000000002,0.5053843750000001,339.30284374999997,0.0,29.481321875000003,Κεμπάπ,0.0,60,13.671143750000002,0.01990625,8,0.7814181250000002,29.481321875000003,119.540625
144,2024-09-10 07:38:51.904,46.1668,0.8446,388.22249999999997,0.0,15.540600000000001,Τυρόψωμο ολικής με ελιές και ρίγανη,0.0,60,14.8887,0.010499999999999999,10,1.45791,15.540600000000001,130.125
145,2024-09-10 07:59:57.703,13.629444444444445,0.48777777777777775,134.4716666666667,0.0,6.627222222222222,Κρεμμυδόπιτα,0.0,60,4.948888888888889,0.03361111111111111,18,2.3499999999999996,6.627222222222222,70.41666666666667
146,2024-09-10 08:08:04.637,83.05426666666666,7.230241666666667,496.26525,0.0,10.263241666666667,Σπιτικά νιόκι με σάλτσα τομάτας,0.0,40,19.2814,0.2535833333333333,3,9.33507,10.263241666666667,485.575
147,2024-09-10 08:28:36.928,42.562625,3.8569687500000005,321.94281249999995,0.0,13.279718749999999,Κοτόπουλο με μαρινάδα γιαουρτιού,0.0,90,5.489375000000001,0.1549375,4,8.9989375,13.279718749999999,353.46875
148,2024-09-10 08:44:55.848,51.73484999999999,0.8696375000000001,763.590875,0.0,45.336887499999996,Τορτελίνια με κρέμα γάλακτος,0.0,25,33.954525000000004,0.039624999999999994,2,5.108807499999999,45.336887499999996,326.0125
149,2024-09-10 09:01:57.210,67.15651666666668,1.2877416666666666,996.6556666666667,0.0,40.771825,Γιουβέτσι κοτόπουλο,0.0,90,87.09569166666665,0.05691666666666667,6,5.210099166666667,40.771825,491.8166666666666
255,2024-10-03 10:58:51.452,68.6,2.5249999999999995,591.25,0.0,20.974999999999998,"Φυσικός χυμός με μήλο, αχλάδι, γάλα αμυγδάλου και πρωτεϊνη",0.0,5,32.6,0.6749999999999999,1,9.450000000000001,20.974999999999998,205.0
150,2024-09-10 09:08:36.975,28.35396666666666,2.5068916666666667,296.22408333333334,0.0,11.469058333333335,Κεφτεδάκια με σάλτσα τομάτας,0.0,50,18.8002,0.03191666666666667,6,4.1181600000000005,11.469058333333335,223.625
151,2024-09-10 09:18:55.950,19.00314,1.116155,142.62284999999997,0.0,3.7418549999999997,Σουφλέ με κολοκύθια,0.0,60,8.16571,0.08115,10,4.410723,3.7418549999999997,155.405
152,2024-09-10 09:28:25.414,39.12550000000001,4.764375,586.4812499999999,0.0,38.215375,Πατάτες ογκρατέν,0.0,30,21.305,0.21925,1,3.5322500000000003,38.215375,465.875
153,2024-09-10 10:02:44.553,33.100725,4.124168750000001,198.60118749999998,0.0,6.00804375,Σούπα βελουτέ με πράσο και πατάτα,0.0,40,4.0130875,0.1923125,4,3.34717625,6.00804375,267.48125
256,2024-10-03 11:10:12.105,36.05780000000001,4.898058333333334,175.78074999999998,0.0,2.2040583333333337,Πατάτες φούρνου σαν τηγανητές,0.0,80,4.232366666666667,0.21141666666666667,3,1.6169933333333333,2.2040583333333337,210.0583333333333
